Location,Species,Year,Amount,,,,,
Bella Coola-Bentinck,Chinook,2013,37247,,Row Labels,Sum of Amount,,
Bella Coola-Bentinck,Chinook,2014,33749,,2013,16119232,,10033516.6
Bella Coola-Bentinck,Chinook,2015,63975,,Chinook,56544,,
Bella Coola-Bentinck,Chinook,2016,39530,,Bella Coola-Bentinck,37247,,0.035879743
Bella Coola-Bentinck,Chinook,2017,17735,,Dean River,4243,,0.133552378
Dean River,Chinook,2013,4243,,North & Central Coast-Early,737,,0.051826296
Dean River,Chinook,2014,3833,,North & Central Coast-Late,1687,,0.007973276
Dean River,Chinook,2015,1860,,Rivers Inlet,3104,,0.009966595
Dean River,Chinook,2016,4675,,Wannock,9526,,0.079732763
Dean River,Chinook,2017,883,,Chum,1356163,,0.014949893
North & Central Coast-Early,Chinook,2013,737,,Bella Coola River-Late,37966,,
North & Central Coast-Early,Chinook,2014,1137,,Bella Coola-Dean Rivers,508809,,
North & Central Coast-Early,Chinook,2015,2053,,Douglas-Gardner,48527,,
North & Central Coast-Early,Chinook,2016,700,,Hecate Lowlands,99292,,
North & Central Coast-Early,Chinook,2017,1089,,Mussel-Kynoch,144277,,
North & Central Coast-Late,Chinook,2013,1687,,Smith Inlet,43179,,
North & Central Coast-Late,Chinook,2015,638,,Spiller-Fitz-Hugh-Burke,474113,,
North & Central Coast-Late,Chinook,2017,2908,,Coho,585289,,
Rivers Inlet,Chinook,2013,3104,,Bella Coola-Dean Rivers,82398,,
Rivers Inlet,Chinook,2014,2458,,Brim-Wahoo,12205,,
Rivers Inlet,Chinook,2015,1772,,Douglas Channel-Kitimat Arm,145010,,
Rivers Inlet,Chinook,2016,766,,Hecate Strait Mainland,75217,,
Rivers Inlet,Chinook,2017,773,,Mussel-Kynoch,3633,,
Wannock,Chinook,2013,9526,,Northern Coastal Streams,140609,,
Wannock,Chinook,2014,7778,,Rivers Inlet,108564,,
Wannock,Chinook,2015,23651,,Smith Inlet,17653,,
