age,sex,act.level,eer
3,m,sed,1019.78
4,m,sed,1433.35
5,m,sed,1371.4499999999998
6,m,sed,1309.5499999999997
7,m,sed,1247.6499999999999
8,m,sed,1185.7499999999998
9,m,sed,1288.386
10,m,sed,1562.62
11,m,sed,1553.0900000000001
12,m,sed,1543.56
13,m,sed,1534.03
14,m,sed,1524.5
15,m,sed,1926.0140000000001
16,m,sed,1916.4840000000002
17,m,sed,1906.9540000000002
18,m,sed,1897.424
19,m,sed,1887.8940000000002
20,m,sed,2437.994
21,m,sed,2428.464
22,m,sed,2418.934
23,m,sed,2409.404
24,m,sed,2399.874
25,m,sed,2549.722
26,m,sed,2540.1920000000005
27,m,sed,2530.6620000000003
28,m,sed,2521.1320000000005
29,m,sed,2511.6020000000003
30,m,sed,2502.0720000000006
31,m,sed,2492.5420000000004
32,m,sed,2483.0120000000006
33,m,sed,2473.4820000000004
34,m,sed,2463.952
35,m,sed,2454.4220000000005
36,m,sed,2444.8920000000003
37,m,sed,2435.3620000000005
38,m,sed,2425.8320000000003
39,m,sed,2416.3020000000006
40,m,sed,2406.7720000000004
41,m,sed,2397.242
42,m,sed,2387.7120000000004
43,m,sed,2378.1820000000002
44,m,sed,2368.6520000000005
45,m,sed,2359.1220000000003
46,m,sed,2349.5920000000006
47,m,sed,2340.0620000000004
48,m,sed,2330.532
49,m,sed,2321.0020000000004
50,m,sed,2311.472
51,m,sed,2301.9420000000005
52,m,sed,2292.4120000000003
53,m,sed,2282.8820000000005
54,m,sed,2273.3520000000003
55,m,sed,2263.8220000000006
56,m,sed,2254.2920000000004
57,m,sed,2244.7620000000006
58,m,sed,2235.2320000000004
59,m,sed,2225.702
60,m,sed,2216.1720000000005
61,m,sed,2206.6420000000003
62,m,sed,2197.1120000000005
63,m,sed,2187.5820000000003
64,m,sed,2178.0520000000006
65,m,sed,2168.5220000000004
66,m,sed,2158.992
67,m,sed,2149.4620000000004
68,m,sed,2139.9320000000002
69,m,sed,2130.4020000000005
70,m,sed,2120.8720000000003
71,m,sed,2111.3420000000006
72,m,sed,2101.8120000000004
73,m,sed,2092.282
74,m,sed,2082.7520000000004
75,m,sed,2073.2220000000007
76,m,sed,2063.6920000000005
77,m,sed,2054.1620000000003
78,m,sed,2044.6320000000005
79,m,sed,2035.1020000000003
80,m,sed,2025.5720000000006
3,f,sed,986.14
4,f,sed,1306.1999999999998
5,f,sed,1275.3999999999999
6,f,sed,1244.6
7,f,sed,1213.8
8,f,sed,1183
9,f,sed,991.14
10,f,sed,1311.1999999999998
11,f,sed,1280.3999999999999
12,f,sed,1249.6
13,f,sed,1218.8
14,f,sed,1188
15,f,sed,1588.06
16,f,sed,1557.26
17,f,sed,1526.46
18,f,sed,1495.66
19,f,sed,1069.95
20,f,sed,1348.46
21,f,sed,1341.55
22,f,sed,1334.6399999999999
23,f,sed,1327.73
24,f,sed,1320.82
25,f,sed,1674.21
26,f,sed,1667.3000000000002
27,f,sed,1660.39
28,f,sed,1653.48
29,f,sed,1646.5700000000002
30,f,sed,2091.46
31,f,sed,2084.5499999999997
32,f,sed,2077.64
33,f,sed,2070.73
34,f,sed,2063.8199999999997
35,f,sed,2162.93
36,f,sed,2156.02
37,f,sed,2149.1099999999997
38,f,sed,2142.2
39,f,sed,2135.29
40,f,sed,2128.3799999999997
41,f,sed,2121.47
42,f,sed,2114.56
43,f,sed,2107.6499999999996
44,f,sed,2100.74
45,f,sed,2093.83
46,f,sed,2086.9199999999996
47,f,sed,2080.0099999999998
48,f,sed,2073.1
49,f,sed,2066.1899999999996
50,f,sed,2059.2799999999997
51,f,sed,2052.37
52,f,sed,2045.4599999999998
53,f,sed,2038.5499999999997
54,f,sed,2031.6399999999999
55,f,sed,2024.7299999999998
56,f,sed,2017.8199999999997
57,f,sed,2010.9099999999999
58,f,sed,2003.9999999999998
59,f,sed,1997.0899999999997
60,f,sed,1990.1799999999998
61,f,sed,1983.2699999999998
62,f,sed,1976.3599999999997
63,f,sed,1969.4499999999998
64,f,sed,1962.5399999999997
65,f,sed,1955.6299999999997
66,f,sed,1948.7199999999998
67,f,sed,1941.8099999999997
68,f,sed,1934.8999999999999
69,f,sed,1927.9899999999998
70,f,sed,1921.08
71,f,sed,1914.1699999999998
72,f,sed,1907.2599999999998
73,f,sed,1900.35
74,f,sed,1893.4399999999998
75,f,sed,1886.5299999999997
76,f,sed,1879.62
77,f,sed,1872.7099999999998
78,f,sed,1865.7999999999997
79,f,sed,1858.8899999999999
80,f,sed,1851.9799999999998
3,m,lowact,1162.3873999999998
4,m,lowact,1637.7684999999997
5,m,lowact,1575.8684999999996
6,m,lowact,1513.9684999999995
7,m,lowact,1452.0684999999996
8,m,lowact,1390.1684999999995
9,m,lowact,1373.53288
10,m,lowact,1684.6562
11,m,lowact,1675.1262000000002
12,m,lowact,1665.5962
13,m,lowact,1656.0662
14,m,lowact,1646.5362
15,m,lowact,2101.48592
16,m,lowact,2091.9559200000003
17,m,lowact,2082.42592
18,m,lowact,2072.89592
19,m,lowact,2063.36592
20,m,lowact,2686.21782
21,m,lowact,2676.68782
22,m,lowact,2667.15782
23,m,lowact,2657.6278199999997
24,m,lowact,2648.09782
25,m,lowact,2797.9770400000007
26,m,lowact,2788.447040000001
27,m,lowact,2778.9170400000007
28,m,lowact,2769.387040000001
29,m,lowact,2759.857040000001
30,m,lowact,2750.327040000001
31,m,lowact,2740.797040000001
32,m,lowact,2731.2670400000006
33,m,lowact,2721.737040000001
34,m,lowact,2712.2070400000007
35,m,lowact,2702.677040000001
36,m,lowact,2693.1470400000007
37,m,lowact,2683.617040000001
38,m,lowact,2674.087040000001
39,m,lowact,2664.557040000001
40,m,lowact,2655.027040000001
41,m,lowact,2645.497040000001
42,m,lowact,2635.967040000001
43,m,lowact,2626.4370400000007
44,m,lowact,2616.907040000001
45,m,lowact,2607.3770400000008
46,m,lowact,2597.847040000001
47,m,lowact,2588.317040000001
48,m,lowact,2578.787040000001
49,m,lowact,2569.257040000001
50,m,lowact,2559.7270400000007
51,m,lowact,2550.197040000001
52,m,lowact,2540.6670400000007
53,m,lowact,2531.137040000001
54,m,lowact,2521.607040000001
55,m,lowact,2512.077040000001
56,m,lowact,2502.547040000001
57,m,lowact,2493.0170400000006
58,m,lowact,2483.487040000001
59,m,lowact,2473.9570400000007
60,m,lowact,2464.427040000001
61,m,lowact,2454.8970400000007
62,m,lowact,2445.367040000001
63,m,lowact,2435.837040000001
64,m,lowact,2426.3070400000006
65,m,lowact,2416.777040000001
66,m,lowact,2407.247040000001
